class_idx,original_class_id,class_name,category
0,6729,Cota tinctoria,Plants
1,5403,Cladonia rangiferina,Fungi
2,3728,Certhia americana,Birds
3,560,Anasa tristis,Insects
4,9796,Thuja plicata,Plants
5,2751,Porcellio laevis,Animalia
6,5495,Amanita novinupta,Fungi
7,1644,Leucania adjuta,Insects
8,7382,Hamatocactus hamatacanthus,Plants
9,3456,Calidris canutus,Birds
10,6070,Platanthera aquilonis,Plants
11,1849,Eueides isabella,Insects
12,8729,Lantana montevidensis,Plants
13,7845,Bonellia macrocarpa,Plants
14,1195,Dyspteris abortivaria,Insects
15,8373,Geranium erianthum,Plants
16,9845,Tsuga canadensis,Plants
17,611,Carpocoris mediterraneus,Insects
18,9828,Pinus monticola,Plants
19,5250,Ruditapes philippinarum,Mollusks
20,651,Phymata americana,Insects
21,7194,Phacelia hastata,Plants
22,6322,Andropogon gerardi,Plants
23,4348,Vireo plumbeus,Birds
24,413,Bolitotherus cornutus,Insects
25,6884,Madia elegans,Plants
26,2191,Eumorpha pandorus,Insects
27,9476,Rubus saxatilis,Plants
28,5412,Letharia columbiana,Fungi
29,843,Vespula maculifrons,Insects
30,1839,Dryadula phaetusa,Insects
31,190,Cantharis rustica,Insects
32,9994,Woodsia obtusa,Plants
33,7807,Collomia linearis,Plants
34,6340,Bouteloua rigidiseta,Plants
35,2794,Naso lituratus,Ray-finned Fishes
36,289,Leptinotarsa decemlineata,Insects
37,3253,Mareca americana,Birds
38,8070,Senna roemeriana,Plants
39,3101,Salamandra lanzai,Amphibians
40,7885,Sarracenia purpurea,Plants
41,4267,Catharus guttatus,Birds
42,7822,Linanthus dianthiflorus,Plants
43,9707,Ipomoea sagittata,Plants
44,2943,Anaxyrus boreas,Amphibians
45,9976,Myriopteris aurea,Plants
46,296,Trachymela sloanei,Insects
47,1648,Leuconycta lepidula,Insects
48,689,Bombus hypnorum,Insects
49,9996,Tmesipteris elongata,Plants
50,4499,Calyptorhynchus banksii,Birds
51,5994,Anacamptis papilionacea,Plants
52,6225,Bromelia pinguin,Plants
53,3642,Gavia immer,Birds
54,7604,Cornus sericea,Plants
55,9146,Berberis repens,Plants
56,5461,Sarcoscypha coccinea,Fungi
57,7634,Centranthus ruber,Plants
58,5647,Mutinus elegans,Fungi
59,9151,Caulophyllum thalictroides,Plants
60,8134,Polygala senega,Plants
61,3326,Selasphorus platycercus,Birds
62,5559,Volvopluteus gloiocephalus,Fungi
63,4240,Tachyphonus rufus,Birds
64,4866,Acanthocercus atricollis,Reptiles
65,7343,Coryphantha macromeris,Plants
66,6799,Gaillardia aestivalis,Plants
67,2868,Chromis chromis,Ray-finned Fishes
68,5665,Meripilus giganteus,Fungi
69,7465,Stellaria media,Plants
70,4014,Oriolus chinensis,Birds
71,5709,Russula brevipes,Fungi
72,2700,Lepisma saccharina,Insects
73,4994,Woodworthia maculata,Reptiles
74,6078,Platanthera huronensis,Plants
75,3909,Lanius cristatus,Birds
76,6837,Heterotheca grandiflora,Plants
77,6053,Neottia cordata,Plants
78,8605,Pedicularis canadensis,Plants
79,6502,Daucus pusillus,Plants
80,4313,Myiarchus cinerascens,Birds
81,8308,Gentianella amarella,Plants
82,5331,Deroceras reticulatum,Mollusks
83,8135,Polygaloides chamaebuxus,Plants
84,9442,Rosa acicularis,Plants
85,3912,Lanius minor,Birds
86,5899,Hesperoyucca whipplei,Plants
87,7497,Abronia latifolia,Plants
88,9922,Woodwardia fimbriata,Plants
89,7660,Succisa pratensis,Plants
90,369,Malachius bipustulatus,Insects
91,7842,Polemonium viscosum,Plants
92,4323,Sayornis nigricans,Birds
93,1052,Hypena proboscidalis,Insects
94,1834,Dione juno,Insects
95,5705,Lactarius indigo,Fungi
96,8,Araneus bicentenarius,Arachnids
97,9107,Oxalis violacea,Plants
98,4015,Oriolus larvatus,Birds
99,1008,Chytolita morbidalis,Insects
100,3734,Cisticola juncidis,Birds
101,1514,Plebejus idas,Insects
102,6507,Eryngium maritimum,Plants
103,6168,Lilium bulbiferum,Plants
104,2178,Ceratomia undulosa,Insects
105,1769,Aglais io,Insects
106,806,Sphex nudus,Insects
107,7933,Ceratonia siliqua,Plants
108,2129,Moodna ostrinella,Insects
109,2820,Cirrhitichthys aprinus,Ray-finned Fishes
110,5956,Astelia nervosa,Plants
111,729,Amphibolips quercuspomiformis,Insects
112,47,Trichonephila fenestrata,Arachnids
113,9659,Micranthes californica,Plants
114,1312,Synchlora aerata,Insects
115,8396,Avicennia marina,Plants
