image_id,image_path,original_class_id,class_idx,class_name,split
0,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/bc81d18e-6a75-4b9e-b90e-f3f6d6d17f9e.jpg,6729,0,Cota tinctoria,train
1,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/c044bec0-dcd1-4751-8837-d5319a9de2d9.jpg,6729,0,Cota tinctoria,train
2,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/66b91090-a33a-4e28-8897-c1921b68786d.jpg,6729,0,Cota tinctoria,train
3,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/cb185b48-336b-4161-af5d-b691a68b12aa.jpg,6729,0,Cota tinctoria,train
4,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/253bbea1-89f3-4bea-949f-aeff5726b53c.jpg,6729,0,Cota tinctoria,train
5,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/0a4dee7a-f120-472a-b8e8-8607c6a21330.jpg,6729,0,Cota tinctoria,train
6,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/562d1003-b7ac-45d3-ba8f-333b91e65576.jpg,6729,0,Cota tinctoria,train
7,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/1e8804fb-fd10-4b84-8a77-76bcd963d035.jpg,6729,0,Cota tinctoria,train
8,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/86d84671-3798-4337-a2c5-51bac033b639.jpg,6729,0,Cota tinctoria,train
9,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/4c0cff41-471e-404c-8600-f906db2e621c.jpg,6729,0,Cota tinctoria,train
10,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/884e94c3-7d23-4099-beb6-a65870cd4fc7.jpg,6729,0,Cota tinctoria,train
11,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/6ce79db1-ac97-4c7c-873e-f5f3b6e29fb8.jpg,6729,0,Cota tinctoria,train
12,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/518ca64e-c84a-4820-81dc-5d0f509154ec.jpg,6729,0,Cota tinctoria,train
13,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/e813a809-7106-4338-a7a2-9e6b272fd6d6.jpg,6729,0,Cota tinctoria,train
14,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/2cd551bc-a03f-488f-968e-aef5572d0ec2.jpg,6729,0,Cota tinctoria,train
15,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/704e28c7-15e9-4001-b562-c2ba3ec28017.jpg,6729,0,Cota tinctoria,train
16,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/a246923a-af43-4966-8dfb-faca654ae36c.jpg,6729,0,Cota tinctoria,train
17,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/92cffbe6-787c-492a-8450-bec40ffe6771.jpg,6729,0,Cota tinctoria,train
18,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/114c369c-8b22-4bfa-9cef-5e840987a655.jpg,6729,0,Cota tinctoria,train
19,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/9bd3f9a8-be43-4ecb-9f9c-9fc226bbe25b.jpg,6729,0,Cota tinctoria,train
20,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/4d050f9f-3237-435d-917f-e4f5962545d5.jpg,6729,0,Cota tinctoria,train
21,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/e8f864c8-0acb-4bc5-9afd-c77e4c6386a4.jpg,6729,0,Cota tinctoria,train
22,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/a1e36cdd-5435-4472-9478-c1621b3ece06.jpg,6729,0,Cota tinctoria,train
23,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/e40b6514-b3f6-464f-98c5-73e9179b69ad.jpg,6729,0,Cota tinctoria,train
24,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/daf6de4c-b972-4d7b-8abf-a9e906ca65d6.jpg,6729,0,Cota tinctoria,train
25,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/e6dc4b79-9e59-41ee-9956-2f13ee07111a.jpg,6729,0,Cota tinctoria,train
26,data/raw/train_mini/06729_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cota_tinctoria/53b241a7-a621-4f0b-ba0e-4e26bc1ddbd0.jpg,6729,0,Cota tinctoria,train
